player_name,player_steamid,silenced,weapon,tick,event_name,match_id
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1223,weapon_fire,c3ddd683
Connan,76561198026214582,True,weapon_m4a1_silencer,1249,weapon_fire,c3ddd683
Connan,76561198026214582,True,weapon_m4a1_silencer,1261,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1309,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1323,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_glock,1325,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_glock,1329,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_glock,1345,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_glock,1363,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1367,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1385,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_glock,1387,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1395,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_glock,1399,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_glock,1409,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1411,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1419,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1425,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1427,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1431,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1433,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1437,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1437,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1443,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1449,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1449,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1455,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1455,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1461,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1467,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1473,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1477,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1483,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1483,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1489,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1489,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1493,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1495,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_galilar,1501,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1505,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1511,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1517,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1523,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1529,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_galilar,1535,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1563,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1571,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1599,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1601,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_famas,1601,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1605,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_famas,1607,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1611,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1611,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1619,weapon_fire,c3ddd683
Luiz,76561198100001022,False,weapon_famas,1625,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1629,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1635,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1643,weapon_fire,c3ddd683
AVARA KÉRABA,76561198397576589,False,weapon_famas,1647,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1657,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1707,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1737,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1741,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1751,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1761,weapon_fire,c3ddd683
MonsTro,76561198340888446,False,weapon_deagle,1765,weapon_fire,c3ddd683
【﻿ＰＫ】,76561197996437459,False,weapon_deagle,1789,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1793,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_ak47,1797,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_ak47,1805,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_ak47,1811,weapon_fire,c3ddd683
Cujura,76561198051880621,False,weapon_ak47,1819,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_ak47,1831,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_ak47,1839,weapon_fire,c3ddd683
Erick,76561198000238678,False,weapon_ak47,1843,weapon_fire,c3ddd683
Talevor,76561198124241179,True,weapon_usp_silencer,1849,weapon_fire,c3ddd683
