defindex,round,player_steamid,item,ispainted,tick,weptype,player_name,hastracers,hassilencer,canzoom,issilenced,event_name
7,0,0,ak47,False,4,3,Wesley,True,False,False,False,item_equip
7,0,0,ak47,False,4,3,Wesley,True,False,False,False,item_equip
59,0,0,knife,False,33,0,Wesley,False,False,False,False,item_equip
4,0,0,glock,False,33,1,Wesley,True,False,False,False,item_equip
42,0,0,knife,False,33,0,Wesley,False,False,False,False,item_equip
32,0,0,hkp2000,False,33,1,Wesley,True,False,False,False,item_equip
13,0,0,galilar,False,37,3,Wesley,True,False,False,False,item_equip
13,0,0,galilar,False,37,3,Wesley,True,False,False,False,item_equip
42,0,76561198421514418,knife,False,491,0,rodrigaoobrabo,False,False,False,False,item_equip
61,0,76561198421514418,hkp2000,False,491,1,rodrigaoobrabo,True,True,False,True,item_equip
59,0,76561198026214582,knife,False,627,0,Connan,False,False,False,False,item_equip
4,0,76561198026214582,glock,False,627,1,Connan,True,False,False,False,item_equip
60,0,76561198421514418,m4a1,False,631,3,rodrigaoobrabo,True,True,False,True,item_equip
60,0,76561198026214582,m4a1,False,631,3,Connan,True,True,False,True,item_equip
42,0,76561197996437459,knife,False,631,0,【﻿ＰＫ】,False,False,False,False,item_equip
61,0,76561197996437459,hkp2000,True,631,1,【﻿ＰＫ】,True,True,False,True,item_equip
42,0,76561198000238678,knife,False,655,0,Erick,False,False,False,False,item_equip
61,0,76561198000238678,hkp2000,False,655,1,Erick,True,True,False,True,item_equip
59,0,76561198340888446,knife,False,767,0,MonsTro,False,False,False,False,item_equip
4,0,76561198340888446,glock,True,767,1,MonsTro,True,False,False,False,item_equip
1,0,76561197996437459,deagle,False,769,1,【﻿ＰＫ】,True,False,False,False,item_equip
1,0,76561198340888446,deagle,True,769,1,MonsTro,True,False,False,False,item_equip
42,0,76561198100001022,knife,False,893,0,Luiz,False,False,False,False,item_equip
32,0,76561198100001022,hkp2000,True,893,1,Luiz,True,False,False,False,item_equip
42,0,76561198026214582,knife,False,913,0,Connan,False,False,False,False,item_equip
60,0,76561198026214582,m4a1,False,919,3,Connan,True,True,False,True,item_equip
520,0,76561198051880621,knife,True,1003,0,Cujura,False,False,False,False,item_equip
4,0,76561198051880621,glock,True,1003,1,Cujura,True,False,False,False,item_equip
13,0,76561198000238678,galilar,False,1009,3,Erick,True,False,False,False,item_equip
13,0,76561198051880621,galilar,True,1009,3,Cujura,True,False,False,False,item_equip
59,0,76561198397576589,knife,False,1009,0,AVARA KÉRABA,False,False,False,False,item_equip
4,0,76561198397576589,glock,True,1009,1,AVARA KÉRABA,True,False,False,False,item_equip
4,0,76561198100001022,glock,False,1015,1,Luiz,True,False,False,False,item_equip
4,0,76561198397576589,glock,True,1015,1,AVARA KÉRABA,True,False,False,False,item_equip
42,0,76561198124241179,knife,False,1049,0,Talevor,False,False,False,False,item_equip
61,0,76561198124241179,hkp2000,False,1049,1,Talevor,True,True,False,True,item_equip
42,0,76561198421514418,knife,False,1249,0,rodrigaoobrabo,False,False,False,False,item_equip
42,0,76561198026214582,knife,False,1285,0,Connan,False,False,False,False,item_equip
60,0,76561198026214582,m4a1,False,1305,3,Connan,True,True,False,True,item_equip
42,0,76561198397576589,knife,False,1409,0,AVARA KÉRABA,False,False,False,False,item_equip
42,0,76561198421514418,knife,False,1449,0,rodrigaoobrabo,False,False,False,False,item_equip
61,0,76561198421514418,hkp2000,False,1449,1,rodrigaoobrabo,True,True,False,True,item_equip
60,0,76561198421514418,m4a1,False,1453,3,rodrigaoobrabo,True,True,False,True,item_equip
60,0,76561198026214582,m4a1,False,1453,3,Connan,True,True,False,True,item_equip
59,0,76561198397576589,knife,False,1493,0,AVARA KÉRABA,False,False,False,False,item_equip
4,0,76561198397576589,glock,True,1493,1,AVARA KÉRABA,True,False,False,False,item_equip
10,0,76561198100001022,famas,False,1495,3,Luiz,True,False,False,False,item_equip
10,0,76561198397576589,famas,False,1495,3,AVARA KÉRABA,True,False,False,False,item_equip
520,0,76561198051880621,knife,True,1505,0,Cujura,False,False,False,False,item_equip
42,0,76561198100001022,knife,False,1629,0,Luiz,False,False,False,False,item_equip
520,0,76561198051880621,knife,True,1705,0,Cujura,False,False,False,False,item_equip
4,0,76561198051880621,glock,True,1705,1,Cujura,True,False,False,False,item_equip
7,0,76561198000238678,ak47,False,1711,3,Erick,True,False,False,False,item_equip
7,0,76561198051880621,ak47,True,1711,3,Cujura,True,False,False,False,item_equip
42,0,76561198026214582,knife,False,1789,0,Connan,False,False,False,False,item_equip
42,0,76561198100001022,knife,False,1823,0,Luiz,False,False,False,False,item_equip
32,0,76561198100001022,hkp2000,True,1823,1,Luiz,True,False,False,False,item_equip
13,0,76561198100001022,galilar,False,1825,3,Luiz,True,False,False,False,item_equip
13,0,76561198397576589,galilar,False,1825,3,AVARA KÉRABA,True,False,False,False,item_equip
520,0,76561198051880621,knife,True,1831,0,Cujura,False,False,False,False,item_equip
42,0,76561198421514418,knife,False,1865,0,rodrigaoobrabo,False,False,False,False,item_equip
42,0,76561198000238678,knife,False,1875,0,Erick,False,False,False,False,item_equip
7,0,76561198000238678,ak47,False,1883,3,Erick,True,False,False,False,item_equip
